image_id,image_path,scorer_a_bcs,scorer_b_bcs,ground_truth,weight_class,is_duplicate,duplicate_of,scorer_c_bcs,scorer_d_bcs,scorer_e_bcs,scorer_f_bcs,scorer_g_bcs,scorer_h_bcs,scorer_i_bcs
1,images/cat_01.jpeg,4.0,4.0,4.0,IW,False,,5.0,5.0,4.0,4.0,5.0,4.5,5.0
2,images/cat_02.jpeg,5.0,5.5,5.25,OW,True,50,6.0,7.0,4.5,5.0,6.0,5.0,7.0
3,images/cat_03.jpeg,8.0,8.0,8.0,OB,False,,8.0,8.5,8.0,8.5,8.0,9.0,8.0
4,images/cat_04.jpeg,6.5,7.0,6.75,OW,False,,7.0,6.0,6.0,6.5,7.0,7.0,6.5
5,images/cat_05.jpeg,4.0,4.0,4.0,IW,True,47,5.0,4.5,3.5,4.0,4.0,4.0,5.0
6,images/cat_06.jpeg,4.5,5.0,4.75,IW,False,,5.5,5.0,4.0,5.0,5.0,5.0,4.5
7,images/cat_07.jpeg,5.0,5.0,5.0,IW,False,,5.5,5.0,3.0,5.0,4.0,5.0,5.0
8,images/cat_08.jpeg,1.0,1.0,1.0,IW,False,,2.5,1.0,1.0,1.0,2.5,2.0,2.0
9,images/cat_09.jpeg,5.0,5.0,5.0,IW,False,,5.0,6.0,4.5,5.0,6.0,6.0,5.0
10,images/cat_10.jpeg,7.0,7.0,7.0,OW,False,,6.0,6.0,6.0,6.5,7.0,6.5,7.0
11,images/cat_11.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
12,images/cat_12.jpeg,8.0,8.0,8.0,OB,False,,8.5,8.0,7.5,8.5,9.0,8.0,8.0
13,images/cat_13.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,8.0,9.0,9.0,9.0,9.0
14,images/cat_14.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,8.0,9.0,9.0,9.0,9.0
15,images/cat_15.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
16,images/cat_16.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
17,images/cat_17.jpeg,5.0,4.5,4.75,IW,False,,4.0,4.5,5.0,5.0,5.0,4.0,4.5
18,images/cat_18.jpeg,3.0,3.0,3.0,IW,False,,4.0,3.0,3.0,3.0,3.0,3.0,3.0
19,images/cat_19.jpeg,5.0,4.0,4.5,IW,False,,6.0,6.0,5.0,5.0,5.0,3.5,6.0
20,images/cat_20.jpeg,5.0,5.5,5.25,OW,False,,5.5,4.5,4.0,5.5,5.5,4.5,6.0
21,images/cat_21.jpeg,7.5,7.0,7.25,OB,False,,7.5,7.0,7.0,8.0,7.0,6.5,7.0
22,images/cat_22.jpeg,1.5,1.0,1.25,IW,False,,2.0,1.0,1.0,1.0,1.0,1.0,1.5
23,images/cat_23.jpeg,6.0,6.5,6.25,OW,False,,7.0,6.0,6.5,8.0,6.0,7.0,7.5
24,images/cat_24.jpeg,7.5,7.0,7.25,OB,False,,8.0,8.0,7.0,9.0,8.0,7.0,7.0
25,images/cat_25.jpeg,4.0,3.0,3.5,IW,True,48,4.5,3.5,4.5,3.5,5.0,4.0,5.0
26,images/cat_26.jpeg,6.0,5.5,5.75,OW,False,,7.0,6.0,5.0,5.5,5.0,6.0,6.0
27,images/cat_27.jpeg,5.0,5.5,5.25,OW,False,,5.0,5.0,5.0,6.0,6.0,5.0,5.0
28,images/cat_28.jpeg,5.0,4.0,4.5,IW,False,,5.0,3.5,3.0,6.0,4.5,3.5,4.5
29,images/cat_29.jpeg,6.0,6.0,6.0,OW,False,,7.0,6.0,4.0,5.0,5.0,4.5,6.0
30,images/cat_30.jpeg,5.0,4.0,4.5,IW,False,,5.0,4.0,3.5,4.0,5.0,4.0,4.0
31,images/cat_31.jpeg,5.0,4.0,4.5,IW,False,,5.0,4.5,3.0,4.0,5.0,4.0,5.5
32,images/cat_32.jpeg,4.0,3.0,3.5,IW,False,,4.5,4.0,3.0,4.0,3.0,3.0,4.0
33,images/cat_33.jpeg,8.5,9.0,8.75,OB,False,,9.0,9.0,7.5,9.0,9.0,9.0,8.5
34,images/cat_34.jpeg,8.0,6.0,7.0,OW,False,,8.0,7.0,7.0,9.0,8.0,7.5,7.0
35,images/cat_35.jpeg,7.0,6.0,6.5,OW,False,,7.0,7.0,6.5,8.0,6.5,7.5,6.5
36,images/cat_36.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
37,images/cat_37.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,9.0,9.0,9.0,9.0,9.0
38,images/cat_38.jpeg,9.0,7.5,8.25,OB,False,,7.0,6.5,7.0,9.0,9.0,8.0,7.5
39,images/cat_39.jpeg,6.5,8.0,7.25,OB,False,,6.0,7.0,6.5,7.5,7.0,7.0,7.0
40,images/cat_40.jpeg,8.0,7.5,7.75,OB,False,,8.0,6.5,8.0,9.0,8.0,7.5,8.0
41,images/cat_41.jpeg,7.0,5.5,6.25,OW,False,,6.0,6.0,5.0,6.5,6.0,6.0,5.0
42,images/cat_42.jpeg,8.0,6.5,7.25,OB,True,49,7.0,5.5,6.0,7.5,7.0,5.5,6.5
43,images/cat_43.jpeg,4.0,4.0,4.0,IW,False,,5.0,5.0,3.0,4.0,3.0,4.0,4.0
44,images/cat_44.jpeg,9.0,9.0,9.0,OB,False,,9.0,9.0,8.0,9.0,9.0,9.0,9.0
45,images/cat_45.jpeg,6.0,4.0,5.0,IW,False,,7.0,5.0,5.0,5.0,5.5,6.0,5.0
46,images/cat_46.jpeg,8.0,7.0,7.5,OB,False,,8.0,7.0,7.0,7.0,8.0,7.0,8.0
47,images/cat_47.jpeg,4.0,4.0,4.0,IW,True,5,5.0,4.5,4.5,5.0,5.0,5.0,4.5
48,images/cat_48.jpeg,4.0,3.0,3.5,IW,True,25,5.0,3.5,3.0,5.0,4.5,4.0,5.0
49,images/cat_49.jpeg,8.0,8.0,8.0,OB,True,42,7.0,5.5,5.5,7.5,7.0,6.0,6.5
50,images/cat_50.jpeg,5.0,5.0,5.0,IW,True,2,7.0,7.0,4.5,5.5,6.0,5.0,7.0
